"subject" "activity" "Time Body Accelerometer -Mean()-X" "Time Body Accelerometer -Mean()-Y" "Time Body Accelerometer -Mean()-Z" "Time Body Accelerometer- -Standard Deviation()-X" "Time Body Accelerometer- -Standard Deviation()-Y" "Time Body Accelerometer- -Standard Deviation()-Z" "Time Gravity Accelerometer -Mean()-X" "Time Gravity Accelerometer -Mean()-Y" "Time Gravity Accelerometer -Mean()-Z" "Time Gravity Accelerometer- -Standard Deviation()-X" "Time Gravity Accelerometer- -Standard Deviation()-Y" "Time Gravity Accelerometer- -Standard Deviation()-Z" "Time Body AccelerometerJerk -Mean()-X" "Time Body AccelerometerJerk -Mean()-Y" "Time Body AccelerometerJerk -Mean()-Z" "Time Body AccelerometerJerk- -Standard Deviation()-X" "Time Body AccelerometerJerk- -Standard Deviation()-Y" "Time Body AccelerometerJerk- -Standard Deviation()-Z" "Time Body Gyroscope -Mean()-X" "Time Body Gyroscope -Mean()-Y" "Time Body Gyroscope -Mean()-Z" "Time Body Gyroscope- -Standard Deviation()-X" "Time Body Gyroscope- -Standard Deviation()-Y" "Time Body Gyroscope- -Standard Deviation()-Z" "Time Body GyroscopeJerk -Mean()-X" "Time Body GyroscopeJerk -Mean()-Y" "Time Body GyroscopeJerk -Mean()-Z" "Time Body GyroscopeJerk- -Standard Deviation()-X" "Time Body GyroscopeJerk- -Standard Deviation()-Y" "Time Body GyroscopeJerk- -Standard Deviation()-Z" "Time Body Accelerometer Magnitude -Mean()" "Time Body Accelerometer Magnitude- -Standard Deviation()" "Time Gravity Accelerometer Magnitude -Mean()" "Time Gravity Accelerometer Magnitude- -Standard Deviation()" "Time Body AccelerometerJerk Magnitude -Mean()" "Time Body AccelerometerJerk Magnitude- -Standard Deviation()" "Time Body Gyroscope Magnitude -Mean()" "Time Body Gyroscope Magnitude- -Standard Deviation()" "Time Body GyroscopeJerk Magnitude -Mean()" "Time Body GyroscopeJerk Magnitude- -Standard Deviation()" "Frequency Body Accelerometer -Mean()-X" "Frequency Body Accelerometer -Mean()-Y" "Frequency Body Accelerometer -Mean()-Z" "Frequency Body Accelerometer- -Standard Deviation()-X" "Frequency Body Accelerometer- -Standard Deviation()-Y" "Frequency Body Accelerometer- -Standard Deviation()-Z" "Frequency Body Accelerometer -MeanFreq()-X" "Frequency Body Accelerometer -MeanFreq()-Y" "Frequency Body Accelerometer -MeanFreq()-Z" "Frequency Body AccelerometerJerk -Mean()-X" "Frequency Body AccelerometerJerk -Mean()-Y" "Frequency Body AccelerometerJerk -Mean()-Z" "Frequency Body AccelerometerJerk- -Standard Deviation()-X" "Frequency Body AccelerometerJerk- -Standard Deviation()-Y" "Frequency Body AccelerometerJerk- -Standard Deviation()-Z" "Frequency Body AccelerometerJerk -MeanFreq()-X" "Frequency Body AccelerometerJerk -MeanFreq()-Y" "Frequency Body AccelerometerJerk -MeanFreq()-Z" "Frequency Body Gyroscope -Mean()-X" "Frequency Body Gyroscope -Mean()-Y" "Frequency Body Gyroscope -Mean()-Z" "Frequency Body Gyroscope- -Standard Deviation()-X" "Frequency Body Gyroscope- -Standard Deviation()-Y" "Frequency Body Gyroscope- -Standard Deviation()-Z" "Frequency Body Gyroscope -MeanFreq()-X" "Frequency Body Gyroscope -MeanFreq()-Y" "Frequency Body Gyroscope -MeanFreq()-Z" "Frequency Body Accelerometer Magnitude -Mean()" "Frequency Body Accelerometer Magnitude- -Standard Deviation()" "Frequency Body Accelerometer Magnitude -MeanFreq()" "Frequency  Body AccelerometerJerk Magnitude -Mean()" "Frequency  Body AccelerometerJerk Magnitude- -Standard Deviation()" "Frequency  Body AccelerometerJerk Magnitude -MeanFreq()" "Frequency  Body Gyroscope Magnitude -Mean()" "Frequency  Body Gyroscope Magnitude- -Standard Deviation()" "Frequency  Body Gyroscope Magnitude -MeanFreq()" "Frequency  Body GyroscopeJerk Magnitude -Mean()" "Frequency  Body GyroscopeJerk Magnitude- -Standard Deviation()" "Frequency  Body GyroscopeJerk Magnitude -MeanFreq()"
"LAYING" -0.85384825 0.20536516 -0.11634455 -0.057141957 -0.075709734 -0.30853842 -0.077016072 0.75004236 0.49372868 1 -0.12138076 -0.46461304 1 -0.24402785 -0.27073998 -0.82362076 -0.51846722 -0.72322201 -0.82035778 -0.5276892 0.88313596 -0.74160174 -0.71091979 -0.8100209 -0.75941924 -0.21563137 0.052822517 -0.58003695 -0.81062212 -0.81564684 -0.58169197 0.58264429 0.47686939 0.58264429 0.47686939 -0.67049733 -0.67526551 -0.69647977 -0.66856313 -0.76780332 -0.78662229 -0.25970562 -0.48288686 -0.0037170733 -0.048127766 -0.27520447 -0.15012219 -0.29733415 -0.25699595 0.40171512 -0.5610387 -0.69262888 -0.84101202 -0.50344636 -0.75232175 -0.78402839 -0.19003206 -0.080487705 -0.51835077 -0.68769815 -0.76059728 -0.78285712 -0.72824041 -0.84673236 -0.67411082 0.083197438 0.22707256 -0.58754939 0.50279864 0.46128991 0.18251348 -0.68464749 -0.65553517 -0.13744744 -0.74868685 -0.67658979 -0.69023249 -0.79247132 -0.7644272 -0.28314285
"LAYING" -0.36723978 0.087724044 -0.32763493 -0.32346662 -0.31081262 -0.65628158 -0.35427414 0.93227999 0.10545887 0.38173281 -0.39778354 -0.52534658 0.35027279 -0.43722369 0.12096751 -0.92782765 -0.81668443 -0.93343091 -0.92860534 0.14380186 1 -0.86787782 -0.85950439 -0.81591006 -0.8797337 -0.13170249 -0.074214374 -0.87109408 -0.89336939 -0.7972801 -0.88982852 0.19135893 0.092524638 0.19135893 0.092524638 -0.8698423 -0.87982653 -0.74655095 -0.72717961 -0.84503619 -0.87773017 -0.40127013 -0.79183755 -0.30762859 -0.30945628 -0.62054033 -0.40115465 0.14414616 -0.42111992 0.33635482 -0.8087537 -0.9164027 -0.94196274 -0.84089666 -0.95171618 -0.92712917 0.035694625 0.22918842 -0.34986805 -0.84926236 -0.75149072 -0.88939002 -0.8671429 -0.85969612 -0.85855116 0.25939439 0.21485565 -0.32462343 0.10723114 -0.0017022815 0.22314553 -0.86667102 -0.85728173 -0.23781583 -0.76619882 -0.76373796 -0.19404925 -0.8477606 -0.82731398 -0.33421543
"LAYING" 0.070536278 0.0058903436 -0.19888667 -0.94441162 -0.88586039 -0.90020497 -0.95134787 0.95487448 0.21956805 -0.83275404 -0.94665727 -0.83028821 -0.83066656 0.013704276 0.040532141 -0.94279831 -0.86316392 -0.9474123 -0.94003427 -0.0011387541 0.093784111 -0.92186792 -0.9161882 -0.89373338 -0.92189072 -0.033579505 -0.06936369 -0.92012755 -0.9312962 -0.90996392 -0.91927516 -0.92968759 -0.93343441 -0.92968759 -0.93343441 -0.92728431 -0.92500825 -0.90375989 -0.88967957 -0.94492231 -0.9447686 -0.8779143 -0.91134455 -0.94807991 -0.89663233 -0.9008757 -0.93116776 0.30130058 0.042510538 -0.47513676 -0.87247351 -0.93797184 -0.94573552 -0.86180552 -0.95600125 -0.93257155 -0.025583331 -0.056929523 -0.40412905 -0.90704659 -0.87419286 -0.92981292 -0.92291252 -0.9106484 -0.91027685 -0.050133143 -0.17640259 -0.40341718 -0.94224408 -0.92869178 -0.4717807 -0.93897069 -0.92961706 -0.36763447 -0.91179378 -0.91324783 -0.045689919 -0.95776854 -0.94918852 -0.56368185
"LAYING" 0.084683464 0.063915756 -0.066697316 0.38737543 -0.0088542395 -0.53918525 0.30345074 -0.23599696 -0.00032657964 -0.94924723 -0.88564509 -0.95237403 -0.95527668 -0.061023024 0.064506594 0.16317184 -0.039097465 -0.64898532 0.20389675 -0.36956599 0.18827663 -0.61586338 -0.35303367 -0.25947175 -0.66240244 -0.25636817 -0.16571433 -0.47655723 -0.37161363 -0.13161607 -0.44569838 0.26920315 0.12056159 0.26920315 0.12056159 0.04667083 0.02721725 -0.45710296 -0.42251022 -0.41576521 -0.42189692 0.0085754635 -0.5925981 0.41470471 -0.08111044 -0.54572056 0.50754838 -4.598149e-05 0.06391912 -0.063484166 -0.092414878 -0.65396394 0.043448409 -0.044133692 -0.64306814 0.29348938 -0.29735284 -0.25434294 -0.2987629 -0.30778231 -0.09101497 -0.6685092 -0.38725122 -0.39170785 -0.51240502 0.22188694 0.18820676 -0.58647638 0.091399252 0.10720171 0.10583773 -0.037007783 0.087505989 -0.28392234 -0.61108339 -0.49717292 -0.74330025 -0.44421684 -0.40888827 -0.099401466
"LAYING" 0.08892754 -0.033534888 -0.056897447 0.37220859 0.18339728 -0.54014123 0.29805412 -0.22025397 -0.0228163 -0.95830179 -0.88843177 -0.98583219 -0.95860245 0.27603534 -0.041821106 0.10191714 0.0036014496 -0.69001725 0.18979793 -0.32549431 0.18538354 -0.50661688 -0.39931555 -0.2266253 -0.51231035 -0.10428289 0.069878102 -0.22764581 -0.36058084 -0.11603843 -0.27747082 0.25500517 0.14322197 0.25500517 0.14322197 -0.067394632 -0.13477694 -0.3286556 -0.30231627 -0.2861723 -0.32230932 0.15203667 -0.5782127 0.39819033 0.12509564 -0.55479992 0.3411737 -0.019115718 -0.068917444 0.138283 -0.12003174 -0.6637107 0.007190582 0.070487967 -0.71422362 0.13243769 -0.62628392 -0.31057995 -0.092782061 -0.26545274 -0.017315897 -0.57711048 -0.5040154 -0.38002913 -0.32446696 0.34136344 0.10547129 -0.66503639 0.11667679 0.058519044 0.15850808 -0.13465429 0.011277409 -0.29433759 -0.47768532 -0.39279878 -0.48042774 -0.26251458 -0.22514499 -0.041461905
"LAYING" 0.090659537 0.032572755 -0.046958242 0.30000959 0.64078306 -0.55823332 0.18355787 -0.17311301 -0.0024405879 -0.9475949 -0.92411909 -0.91506946 -0.95069196 0.18332563 -0.091371025 0.18777463 0.71822939 -0.67550259 0.12089924 -0.013290027 -0.00019929849 -0.11676507 -0.39043284 0.045614071 -0.13223125 -0.11868584 -0.12164301 0.14837918 -0.4929929 0.3792224 0.042965992 0.43450334 0.2311294 0.43450334 0.2311294 0.47468554 0.3373747 -0.16767823 -0.086975402 -0.16253251 -0.23343232 0.59716086 -0.59781644 0.28527049 0.55954123 -0.57062743 0.5258239 0.11126503 -0.037848918 -0.26051971 0.49396333 -0.6661524 0.096978262 0.84483507 -0.68263476 0.31770481 -0.53424057 -0.23040389 -0.37741116 -0.3568051 0.29197874 -0.18507059 -0.41649465 -0.14493615 0.095469588 0.0019375405 0.22970461 -0.26222496 0.20119501 0.44075037 -0.37682369 0.54033936 0.7134775 -0.2807517 -0.32134332 -0.18166881 -0.6094766 -0.14782746 -0.12810734 -0.22297215
"LAYING" 0.10772883 -0.00099842537 -0.024357382 0.46994618 0.43826339 -0.023087127 0.39646455 -0.23652234 -0.016478495 -0.93842072 -0.95510011 -0.91652759 -0.93517672 -0.12540374 -0.090811463 0.19493939 0.5019926 -0.08357233 0.1872221 -0.29828015 0.098371978 -0.15728967 -0.072833063 0.063428439 -0.20176309 -0.15910792 -0.10001336 0.31890312 -0.073937981 0.48006311 0.28644612 0.45312682 0.26759611 0.45312682 0.26759611 0.42482802 0.38118354 0.0056983886 0.064234944 0.15254909 0.10043521 0.44799011 0.068262659 0.53787392 0.34151908 -0.16453803 0.46357191 0.10913684 0.2837536 0.24421448 0.36532773 0.043483632 0.14927675 0.55237646 -0.21341089 0.31319207 -0.24603544 0.095023047 0.038522899 -0.0059935299 0.3264727 -0.2922924 -0.12328815 -0.13602528 0.10688809 0.017933419 0.2944169 -0.70031788 0.19474234 0.48793984 -0.49931775 0.45138258 0.55903238 -0.14226893 -0.22102603 -0.071842317 -0.57155433 0.18863563 0.25107128 -0.063646582
"LAYING" 0.11131242 -0.0015154049 -0.17458003 0.25840702 0.26052315 -0.53535645 0.19174057 -0.21991162 0.0060483489 -0.95959174 -0.93699977 -0.95706198 -0.96275832 0.52160459 0.088872374 -0.0012025907 0.10893634 -0.65001647 0.006331449 0.17765381 -0.074443422 -0.041527603 -0.36280738 -0.31189787 -0.10781962 -0.053858301 -0.20544936 -0.24350488 -0.37625073 -0.25090957 -0.23747402 0.14540709 -0.0043221717 0.14540709 -0.0043221717 0.028132446 -0.16219928 0.17313416 0.23800384 -0.31461326 -0.44241211 0.28240369 -0.52623424 0.28671916 0.16856806 -0.57854532 0.26184873 0.11778087 0.022319713 0.024491868 0.06036907 -0.6080363 -0.17661467 0.087884176 -0.69103395 0.056137725 -0.55979814 -0.28058412 -0.43729287 -0.22684574 -0.096188813 -0.069816388 -0.46844637 -0.46269168 0.054003941 0.19532459 0.18680524 0.030665406 -0.067860081 0.0336902 -0.13660068 -0.01881656 0.16018785 -0.43335007 0.092904726 0.080894229 -0.010980169 -0.29646551 -0.16627017 -0.45754267
"LAYING" 0.11545218 0.016279339 -0.045294809 0.45172867 0.31056344 0.0042391025 0.32373852 -0.21811142 0.024599028 -0.97261257 -0.93865707 -0.95697159 -0.97544793 0.13360211 -0.0414692 0.21878214 0.30136233 0.022454892 0.24490982 -0.20608093 0.14348671 -0.042348669 0.093586194 -0.010208423 -0.12216599 -0.2566327 0.065119039 0.5756313 0.10623677 0.24451457 0.54101665 0.38931615 0.22592422 0.38931615 0.22592422 0.24708363 0.23275816 0.14434075 0.22262686 0.04267182 0.052061802 0.31570644 0.040316987 0.50148179 0.22459691 -0.10092704 0.54836596 0.11886241 0.40186187 0.11250189 0.20792212 0.062539604 0.21531366 0.31843959 -0.013920738 0.30754312 -0.31439454 -0.0083801252 0.033571902 0.056464617 0.14318026 -0.20139285 0.1081672 -0.15657281 0.16710166 0.13916061 0.21047119 -0.59280488 0.11241196 0.38792519 -0.50597124 0.12599387 0.28340232 -0.13921964 -0.13268279 0.021384696 -0.48021267 -0.080877364 -0.0075470217 -0.23458508
"LAYING" 0.13056706 -0.0024906179 -0.16360941 0.25217006 0.28460522 -0.44978037 0.16972927 -0.21981739 -0.014268577 -0.97743356 -0.91804837 -0.97355321 -0.97860105 0.00058284144 0.079737855 0.071956476 0.099590996 -0.52580898 0.073375065 0.22471325 0.050640343 -0.079846061 -0.32289835 -0.17166203 -0.12643329 0.092001061 -0.30297637 -0.35909977 -0.35580902 0.045197956 -0.34305984 0.26879653 0.090879768 0.26879653 0.090879768 0.098955074 0.04575448 0.16975826 0.2701785 -0.31933057 -0.39484331 0.25326052 -0.42266479 0.25430289 0.21976782 -0.51190862 0.38315526 -0.15284231 0.19124729 -0.081974511 0.024689107 -0.46395303 -0.011941135 0.10926431 -0.5876678 0.20331577 -0.52112471 -0.004418472 -0.33669695 -0.24408246 0.068268726 -0.10179793 -0.38141722 -0.3434702 -0.02567048 0.19656411 0.32088997 0.0022671284 0.079934719 0.24322631 -0.26437179 0.0081261187 0.17427779 -0.4078213 0.13411448 0.097307559 -0.055702534 -0.34414497 -0.23293955 -0.39016403
